"","cname","year","gdp","pop","gdppc"
"1","China",1960,128267593741.237,667070000,192.285058151673
"2","China",1961,93289020922.9396,660330000,141.276363216785
"3","China",1962,88083493564.6416,665770000,132.303188135004
"4","China",1963,97156093397.6388,682335000,142.387673793135
"5","China",1964,114819071171.696,698355000,164.41361652984
"6","China",1965,134280903738.165,715185000,187.756879322364
"7","China",1966,148581819991.883,735400000,202.042181114881
"8","China",1967,140008648972.074,754550000,185.552513381584
"9","China",1968,134268294375.222,774510000,173.359019735345
"10","China",1969,157013343437.16,796025000,197.246749080946
"11","China",1970,187316918714.654,818315000,228.90563989986
"12","China",1971,200541493182.187,841105000,238.426228808754
"13","China",1972,208182124068.928,862030000,241.502179818484
"14","China",1973,224337056900.1,881940000,254.367708574393
"15","China",1974,229519242915.594,900350000,254.922244588875
"16","China",1975,249533320898.924,916395000,272.298867735992
"17","China",1976,245615647753.947,930685000,263.908462856871
"18","China",1977,264208752286.887,943455000,280.043830693448
"19","China",1978,293626189157.361,956165000,307.08736374722
"20","China",1979,315941779533.32,969005000,326.047625691632
"21","China",1980,340606379422.538,981235000,347.120087871446
"22","China",1981,358223950771.979,993885000,360.427967795046
"23","China",1982,390229205390.132,1008630000,386.890341740908
"24","China",1983,432511376628.791,1023310000,422.659190889165
"25","China",1984,497990016810.883,1036825000,480.302863849621
"26","China",1985,564936787938.762,1051040000,537.502652552483
"27","China",1986,615440492473.827,1066790000,576.908756619229
"28","China",1987,687378908817.38,1084035000,634.092911038278
"29","China",1988,764602596565.766,1101630000,694.064791777426
"30","China",1989,796607851183.918,1118650000,712.115363325364
"31","China",1990,827732227234.599,1135185000,729.160645387843
"32","China",1991,904662288793.827,1150780000,786.129658834727
"33","China",1992,1033270559644.75,1164970000,886.950358931776
"34","China",1993,1176560139953.54,1178440000,998.404789343151
"35","China",1994,1330126636882.84,1191835000,1116.03253544563
"36","China",1995,1475765226704.88,1204855000,1224.8488213975
"37","China",1996,1622284695094.43,1217550000,1332.4173094283
"38","China",1997,1772034051564.67,1230075000,1440.59024983409
"39","China",1998,1910919239036.1,1241935000,1538.66284389771
"40","China",1999,2057438707425.62,1252735000,1642.35748775728
"41","China",2000,2232146289974.25,1262645000,1767.83362700858
"42","China",2001,2418305293900.02,1271850000,1901.40762975195
"43","China",2002,2639112188146.35,1280400000,2061.16228377566
"44","China",2003,2903963010766.29,1288400000,2253.92968857986
"45","China",2004,3197589199923.65,1296075000,2467.13284333364
"46","China",2005,3561979300667.93,1303720000,2732.16587968884
"47","China",2006,4015044510537.75,1311020000,3062.53490453063
"48","China",2007,4586441074637.98,1317885000,3480.15272549424
"49","China",2008,5029229367887.28,1324655000,3796.63336331896
"50","China",2009,5501967532430.61,1331260000,4132.90231241877
"51","China",2010,6087164527421.24,1337705000,4550.45359583857
"52","China",2011,6668544381952.81,1344130000,4961.23468857388
"53","China",2012,7192667129598.7,1350695000,5325.1601061666
"54","China",2013,7751437767565.15,1357380000,5710.5878733775
"55","China",2014,8317255434071.39,1364270000,6096.48781698006
"56","China",2015,8891588260063.19,1371220000,6484.43594759644
"57","China",2016,9490585685944.2,1378665000,6883.89542488146
"58","China",2017,10131865283063.9,1386395000,7308.06536597714
"59","China",2018,10800568391746.1,1392730000,7754.96211882137
"60","India",1960,148773228369.793,450547679,330.205293033576
"61","India",1961,154311672619.583,459642165,335.721316210367
"62","India",1962,158834744856.639,469077190,338.611103338108
"63","India",1963,168355860564.476,478825608,351.601622285156
"64","India",1964,180903338880.366,488848135,370.060405120225
"65","India",1965,176135142746.43,499123324,352.889024169166
"66","India",1966,176037689338.708,509631500,345.421523863239
"67","India",1967,189814333825.803,520400576,364.746586725152
"68","India",1968,196245109021.723,531513824,369.219200254937
"69","India",1969,209078950997.853,543084336,384.984314844708
